stock_id,inv_trust,dealer,foregin_inv,total_inv_overview
2013-02-18 00:00:00,0050,"-102,000","20,426,000","565,000","20,889,000"
2013-02-19 00:00:00,0050,"-377,000","11,207,000","3,674,000","14,504,000"
2013-02-20 00:00:00,0050,"-251,000","15,979,000","1,690,000","17,418,000"
2013-02-21 00:00:00,0050,"-46,000","5,583,000","1,898,000","7,435,000"
2013-02-22 00:00:00,0050,"-518,000","4,092,000","449,000","4,023,000"
2013-02-23 00:00:00,0050,0,"4,885,000","-200,000","4,685,000"
2013-02-25 00:00:00,0050,0,"6,855,000","241,600","7,096,600"
2013-02-26 00:00:00,0050,0,"307,000","-127,000","180,000"
2013-02-27 00:00:00,0050,0,"-582,000","442,000","-140,000"
2013-03-01 00:00:00,0050,"-283,000","1,624,500","-214,000","1,127,500"
2013-03-04 00:00:00,0050,"-190,000","-2,005,000","-2,459,000","-4,654,000"
2013-03-05 00:00:00,0050,0,"11,839,500","437,000","12,276,500"
2013-03-06 00:00:00,0050,0,"889,000","1,109,000","1,998,000"
2013-03-07 00:00:00,0050,0,"1,726,000","-274,000","1,452,000"
2013-03-08 00:00:00,0050,0,"8,653,000","-982,000","7,671,000"
2013-03-11 00:00:00,0050,0,"4,406,000","2,751,000","7,157,000"
2013-03-12 00:00:00,0050,0,"2,214,000","1,600,000","3,814,000"
2013-03-13 00:00:00,0050,0,"5,972,000","-693,000","5,279,000"
2013-03-14 00:00:00,0050,0,"6,365,000","-2,817,000","3,548,000"
2013-03-15 00:00:00,0050,0,"-126,000","1,975,000","1,849,000"
2013-03-18 00:00:00,0050,0,"-4,104,000","-2,993,000","-7,097,000"
2013-03-19 00:00:00,0050,0,"-559,000","-959,000","-1,518,000"
2013-03-20 00:00:00,0050,0,"-2,910,000","-3,135,000","-6,045,000"
2013-03-21 00:00:00,0050,0,"-1,223,000","-2,367,000","-3,590,000"
2013-03-22 00:00:00,0050,0,"-1,432,000","-5,062,000","-6,494,000"
2013-03-25 00:00:00,0050,0,"-381,000","108,000","-273,000"
2013-03-26 00:00:00,0050,0,"-70,000","-563,000","-633,000"
2013-03-27 00:00:00,0050,0,"1,482,000","-2,778,000","-1,296,000"
2013-03-28 00:00:00,0050,0,"-586,000","-1,190,000","-1,776,000"
2013-03-29 00:00:00,0050,"120,000","2,841,000","8,000","2,969,000"
2013-04-01 00:00:00,0050,0,"-488,000","-10,000","-498,000"
2013-04-02 00:00:00,0050,0,"1,153,000","188,000","1,341,000"
2013-04-03 00:00:00,0050,0,"962,000","-172,000","790,000"
2013-04-08 00:00:00,0050,"-120,000","-4,322,000","-10,495,000","-14,937,000"
2013-04-09 00:00:00,0050,"-280,000","-477,000","-4,008,000","-4,765,000"
2013-04-10 00:00:00,0050,0,"-482,000","-486,000","-968,000"
2013-04-11 00:00:00,0050,0,"7,101,000","-334,000","6,767,000"
2013-04-12 00:00:00,0050,0,"-157,000","225,000","68,000"
2013-04-15 00:00:00,0050,0,"-1,469,000","-227,000","-1,696,000"
2013-04-16 00:00:00,0050,0,"-490,000","-1,255,000","-1,745,000"
2013-04-17 00:00:00,0050,0,"-118,000","300,000","182,000"
2013-04-18 00:00:00,0050,0,"-518,000","-162,000","-680,000"
2013-04-19 00:00:00,0050,"80,000","12,247,000","5,095,000","17,422,000"
2013-04-22 00:00:00,0050,0,"4,639,000","1,869,000","6,508,000"
2013-04-23 00:00:00,0050,0,"339,000","1,161,000","1,500,000"
2013-04-24 00:00:00,0050,0,"2,348,000","7,188,000","9,536,000"
2013-04-25 00:00:00,0050,0,"-3,028,000","10,540,000","7,512,000"
2013-04-26 00:00:00,0050,0,"-402,000","7,181,000","6,779,000"
2013-04-29 00:00:00,0050,"60,000","3,116,000","3,689,000","6,865,000"
2013-04-30 00:00:00,0050,"50,000","2,226,000","6,317,000","8,593,000"
2013-05-02 00:00:00,0050,"553,000","2,189,000","6,552,000","9,294,000"
2013-05-03 00:00:00,0050,0,"4,327,000","2,736,000","7,063,000"
2013-05-06 00:00:00,0050,0,"276,000","2,091,000","2,367,000"
2013-05-07 00:00:00,0050,0,"-972,000","10,181,300","9,209,300"
2013-05-08 00:00:00,0050,0,"4,268,000","10,113,000","14,381,000"
2013-05-09 00:00:00,0050,0,"-1,491,000","11,840,900","10,349,900"
2013-05-10 00:00:00,0050,0,"652,000","5,197,000","5,849,000"
2013-05-13 00:00:00,0050,"195,000","-999,000","3,274,000","2,470,000"
2013-05-14 00:00:00,0050,"195,000","-86,000","8,366,000","8,475,000"
2013-05-15 00:00:00,0050,0,"2,622,000","3,017,050","5,639,050"
2013-05-16 00:00:00,0050,0,"11,216,000","5,540,000","16,756,000"
2013-05-17 00:00:00,0050,0,"2,407,000","3,122,000","5,529,000"
2013-05-20 00:00:00,0050,0,"1,252,000","2,915,000","4,167,000"
2013-05-21 00:00:00,0050,0,"2,794,000","1,698,000","4,492,000"
2013-05-22 00:00:00,0050,"-553,000","2,142,000","3,202,000","4,791,000"
2013-05-23 00:00:00,0050,0,"-4,205,000","1,412,000","-2,793,000"
2013-05-24 00:00:00,0050,"-330,000","709,000","-393,000","-14,000"
2013-05-27 00:00:00,0050,"-295,000","1,389,000","-75,000","1,019,000"
2013-05-28 00:00:00,0050,0,"65,000","17,000","82,000"
2013-05-29 00:00:00,0050,"-522,000","3,728,000","1,797,000","5,003,000"
2013-05-30 00:00:00,0050,"-195,000","-3,976,000","-132,000","-4,303,000"
2013-05-31 00:00:00,0050,"-110,000","3,606,000","56,000","3,552,000"
2013-06-03 00:00:00,0050,"-195,000","-1,620,000","-1,060,000","-2,875,000"
2013-06-04 00:00:00,0050,0,"-1,073,000","-1,582,000","-2,655,000"
2013-06-05 00:00:00,0050,0,"-225,000","-543,000","-768,000"
2013-06-06 00:00:00,0050,0,"-4,733,000","-5,354,000","-10,087,000"
2013-06-07 00:00:00,0050,0,"-526,000","-3,902,000","-4,428,000"
2013-06-10 00:00:00,0050,0,"374,000","-270,000","104,000"
2013-06-11 00:00:00,0050,0,"-224,000","-1,740,000","-1,964,000"
2013-06-13 00:00:00,0050,0,"-5,748,000","-22,852,000","-28,600,000"
2013-06-14 00:00:00,0050,"280,000","-1,572,000","-9,814,000","-11,106,000"
2013-06-17 00:00:00,0050,0,"722,000","-3,046,000","-2,324,000"
2013-06-18 00:00:00,0050,0,"-407,000","-5,457,000","-5,864,000"
2013-06-19 00:00:00,0050,0,"-739,000","-2,191,000","-2,930,000"
2013-06-20 00:00:00,0050,0,"-3,791,000","-18,143,000","-21,934,000"
2013-06-21 00:00:00,0050,0,"-1,680,000","-26,836,000","-28,516,000"
2013-06-24 00:00:00,0050,0,"-3,979,000","-13,746,000","-17,725,000"
2013-06-25 00:00:00,0050,0,"-8,881,000","-3,909,000","-12,790,000"
2013-06-26 00:00:00,0050,0,"-2,377,000","-1,470,000","-3,847,000"
2013-06-27 00:00:00,0050,0,"5,529,000","-10,641,000","-5,112,000"
2013-06-28 00:00:00,0050,0,"3,996,000","1,360,000","5,356,000"
2013-07-01 00:00:00,0050,0,"9,697,000","-348,000","9,349,000"
2013-07-02 00:00:00,0050,0,"1,807,000","-603,000","1,204,000"
2013-07-03 00:00:00,0050,0,"-1,199,000","-321,000","-1,520,000"
2013-07-04 00:00:00,0050,0,"-496,000","-65,000","-561,000"
2013-07-05 00:00:00,0050,0,"2,353,000","6,213,000","8,566,000"
2013-07-08 00:00:00,0050,0,"-6,168,000","102,000","-6,066,000"
