date,adj_close,close,high,low,open,volume
2017-10-24,6.63,6.66,6.66,6.63,6.63,500
2017-10-25,6.64,6.67,6.67,6.65,6.65,600
2017-10-26,6.71,6.73,6.73,6.73,6.73,100
2017-10-27,6.74,6.79,6.79,6.75,6.75,500
2017-10-30,6.80,6.82,6.82,6.82,6.82,100
2017-10-31,6.79,NULL,NULL,NULL,NULL,0
2017-11-01,6.81,6.85,6.85,6.85,6.85,700
2017-11-02,6.79,NULL,NULL,NULL,NULL,0
2017-11-03,6.78,6.83,6.83,6.83,6.83,500
2017-11-06,6.78,NULL,NULL,NULL,NULL,0
2017-11-07,6.87,NULL,NULL,NULL,NULL,0
2017-11-08,6.91,6.93,6.93,6.93,6.93,500
2017-11-09,6.87,NULL,NULL,NULL,NULL,0
2017-11-10,6.95,NULL,NULL,NULL,NULL,0
2017-11-13,7.01,7.04,7.04,7.01,7.02,88600
2017-11-14,7.02,7.01,7.09,7.01,7.09,63300
2017-11-15,NULL,6.95,6.97,6.95,6.97,118200
2017-11-16,6.98,7.00,7.00,6.98,6.98,144000
2017-11-17,6.88,7.04,7.06,7.04,7.06,90000
2017-11-20,6.89,7.05,7.09,7.05,7.09,90000
2017-11-21,7.18,7.33,7.33,7.15,7.15,86600
2017-11-22,7.40,7.44,7.44,7.42,7.42,80100
2017-11-23,7.19,7.38,7.38,7.38,7.38,80000
2017-11-24,7.17,7.21,7.26,7.17,7.26,115500
2017-11-27,7.08,7.11,7.16,7.11,7.16,100600
2017-11-28,7.04,7.05,7.10,7.05,7.10,48400
2017-11-29,7.06,7.07,7.14,7.05,7.12,100100
2017-11-30,6.90,7.08,7.08,7.05,7.08,85600
2017-12-01,6.95,6.97,6.97,6.97,6.97,120000
2017-12-04,6.87,7.01,7.01,6.92,6.92,120500
2017-12-05,6.91,7.10,7.10,7.10,7.10,120000
2017-12-06,7.00,7.04,7.04,7.03,7.03,120100
2017-12-07,6.76,6.92,6.96,6.92,6.96,130000
2017-12-08,6.93,6.91,6.91,6.91,6.91,120000
2017-12-11,6.88,7.04,7.04,7.04,7.04,120000
2017-12-12,6.88,7.05,7.05,7.05,7.05,120000
2017-12-13,6.93,7.00,7.00,7.00,7.00,120000
2017-12-14,6.87,7.04,7.06,7.04,7.06,125000
2017-12-15,6.93,6.95,6.96,6.95,6.95,135000
2017-12-18,6.75,6.95,6.97,6.95,6.97,120100
2017-12-19,6.86,7.02,7.02,7.02,7.02,120000
2017-12-20,6.89,7.07,7.10,7.07,7.10,130200
2017-12-21,7.01,7.19,7.19,7.19,7.19,120000
2017-12-22,7.00,7.17,7.18,7.17,7.18,150000
2017-12-25,NULL,7.19,7.19,7.19,7.19,120000
2017-12-26,7.00,7.16,7.16,7.16,7.16,160100
2017-12-27,6.97,7.15,7.19,7.15,7.18,190100
2017-12-28,6.97,7.12,7.12,7.07,7.07,160500
2017-12-29,7.12,7.12,7.18,7.12,7.15,180300
2018-01-02,7.28,7.29,7.30,7.29,7.30,160500
2018-01-03,7.34,7.38,7.38,7.32,7.32,150100
2018-01-04,7.32,7.35,7.36,7.31,7.31,170700
2018-01-05,7.39,7.39,7.39,7.39,7.39,160000
2018-01-08,7.40,7.41,7.42,7.41,7.42,160100
2018-01-09,7.44,7.45,7.45,7.45,7.45,160300
2018-01-10,7.47,7.54,7.54,7.51,7.51,160200
2018-01-11,7.48,7.52,7.54,7.52,7.54,140000
2018-01-12,7.56,7.58,7.58,7.52,7.52,160100
2018-01-15,7.81,7.80,7.80,7.69,7.69,162300
2018-01-16,7.81,7.84,7.84,7.84,7.84,160000
2018-01-17,7.83,7.85,7.97,7.85,7.95,160400
2018-01-18,7.89,7.90,7.95,7.90,7.94,175000
2018-01-19,7.99,8.04,8.05,7.96,7.96,160200
2018-01-22,NULL,8.03,8.03,8.03,8.03,160000
2018-01-23,8.09,8.13,8.15,8.12,8.15,200200
2018-01-24,8.14,8.15,8.16,8.11,8.14,200600
2018-01-25,8.10,8.14,8.14,8.08,8.08,175000
2018-01-26,8.18,8.22,8.22,8.16,8.16,161200
2018-01-29,8.10,8.12,8.22,8.12,8.22,166900
2018-01-30,7.90,7.93,8.04,7.93,8.04,163700
2018-01-31,7.94,8.00,8.00,7.94,7.96,164400
2018-02-01,7.99,8.03,8.04,8.03,8.04,162400
2018-02-02,7.95,8.03,8.03,8.00,8.00,162000
2018-02-05,8.00,8.02,8.05,8.02,8.05,162000
2018-02-06,7.85,7.91,7.97,7.89,7.95,162500
2018-02-07,7.87,7.93,8.10,7.85,8.04,163400
2018-02-08,7.51,7.54,7.74,7.54,7.74,161600
2018-02-09,7.07,7.15,7.15,7.07,7.14,81300
2018-02-12,7.20,7.21,7.25,7.21,7.23,163300
2018-02-21,7.50,7.55,7.57,7.45,7.45,6600
2018-02-22,7.49,7.52,7.52,7.39,7.43,24500
2018-02-23,7.53,7.61,7.61,7.61,7.61,100
2018-02-26,7.63,7.67,7.67,7.59,7.67,500
2018-02-27,7.44,7.64,7.64,7.64,7.64,1000
2018-03-01,7.39,7.50,7.50,7.37,7.37,6200
2018-03-02,7.34,7.41,7.41,7.36,7.38,600
2018-03-05,7.31,7.36,7.45,7.36,7.40,1300
2018-03-06,7.36,NULL,NULL,NULL,NULL,0
2018-03-07,7.44,7.46,7.53,7.46,7.53,10100
2018-03-08,7.46,7.49,7.49,7.49,7.49,100
2018-03-09,7.46,7.50,7.50,7.50,7.50,100
2018-03-12,7.53,7.55,7.55,7.55,7.55,5000
2018-03-13,7.50,7.54,7.54,7.54,7.54,200
2018-03-14,7.40,7.48,7.48,7.48,7.48,100
2018-03-15,7.45,7.52,7.52,7.45,7.45,200
2018-03-16,7.45,NULL,NULL,NULL,NULL,0
2018-03-19,7.40,7.43,7.44,7.43,7.44,700
2018-03-20,7.42,7.49,7.49,7.49,7.49,200
2018-03-21,7.47,7.50,7.54,7.50,7.54,600
2018-03-22,7.32,7.42,7.45,7.42,7.45,200
2018-03-23,7.05,7.12,7.12,7.12,7.12,1200
2018-03-26,7.00,7.07,7.12,7.07,7.12,200
2018-03-27,7.14,7.16,7.16,7.16,7.16,6000
2018-03-28,6.97,7.00,7.11,7.00,7.04,39100
2018-03-29,6.98,6.99,6.99,6.88,6.95,3300
2018-03-30,7.08,7.10,7.15,7.10,7.15,200
2018-03-31,7.08,7.16,7.16,7.16,7.16,100
2018-04-02,7.03,7.11,7.15,7.10,7.10,5300
2018-04-03,6.95,6.97,6.97,6.97,6.97,100
2018-04-09,6.95,7.02,7.02,7.02,7.02,100
2018-04-10,7.01,7.08,7.08,7.01,7.01,200
2018-04-11,7.18,7.21,7.21,7.11,7.11,300
2018-04-12,7.08,7.15,7.24,7.15,7.24,400
2018-04-13,7.08,7.08,7.16,7.07,7.16,15700
2018-04-16,6.90,6.91,7.00,6.91,6.99,10700
2018-04-17,6.78,6.87,6.90,6.86,6.90,300
2018-04-18,6.80,6.78,6.78,6.76,6.76,200
2018-04-19,6.92,6.93,6.93,6.86,6.86,6100
2018-04-20,6.77,6.86,6.93,6.86,6.93,200
2018-04-23,6.81,6.88,6.88,6.82,6.82,14800
2018-04-24,6.97,6.99,6.99,6.84,6.84,9200
2018-04-25,6.96,6.98,6.98,6.98,6.98,400
2018-04-26,6.80,6.84,7.03,6.84,7.03,300
2018-04-27,6.69,6.73,6.86,6.67,6.86,12200
2018-04-30,6.74,6.81,6.81,6.80,6.80,200
2018-05-02,6.70,6.75,6.81,6.74,6.76,8400
2018-05-03,6.67,6.70,6.75,6.70,6.71,10000
2018-05-04,6.74,6.78,6.80,6.78,6.80,1100
2018-05-07,6.84,6.84,6.84,6.75,6.75,17700
2018-05-08,6.92,6.92,6.92,6.84,6.84,5600
2018-05-09,6.90,6.95,6.95,6.90,6.90,600
