date,adj_close,close,high,low,open,volume
2017-07-07,19.42,19.41,19.49,19.41,19.44,312000
2017-07-10,19.52,19.52,19.55,19.50,19.52,273000
2017-07-11,19.51,19.53,19.53,19.50,19.50,204000
2017-07-12,19.46,19.50,19.50,19.50,19.50,100000
2017-07-13,19.29,19.31,19.31,19.29,19.29,231000
2017-07-14,19.43,19.43,19.44,19.43,19.44,12000
2017-07-17,19.44,19.47,19.47,19.47,19.47,5000
2017-07-18,19.34,19.36,19.36,19.36,19.36,1000
2017-07-19,19.22,19.23,19.24,19.21,19.24,15000
2017-07-20,19.18,NULL,NULL,NULL,NULL,0
2017-07-21,19.10,NULL,NULL,NULL,NULL,0
2017-07-24,19.02,19.04,19.04,19.01,19.01,103000
2017-07-25,19.10,19.10,19.12,19.10,19.12,5000
2017-07-26,19.38,19.38,19.41,19.35,19.35,41000
2017-07-27,19.31,19.31,19.31,19.30,19.30,8000
2017-07-28,19.38,19.38,19.38,19.38,19.38,7000
2017-07-31,19.31,19.31,19.32,19.28,19.28,26000
2017-08-01,19.33,19.33,19.33,19.32,19.32,3000
2017-08-02,19.18,19.19,19.19,19.19,19.19,5000
2017-08-03,19.11,NULL,NULL,NULL,NULL,0
2017-08-04,18.97,18.97,18.97,18.97,18.97,2000
2017-08-07,19.13,19.12,19.13,19.12,19.13,4000
2017-08-08,19.10,19.10,19.12,19.10,19.12,3000
2017-08-09,19.09,19.10,19.10,19.10,19.10,1000
2017-08-10,19.06,19.08,19.08,19.08,19.08,6000
2017-08-11,18.89,18.89,18.92,18.89,18.92,32000
2017-08-14,18.96,18.97,18.97,18.97,18.97,2000
2017-08-15,19.06,19.05,19.05,19.01,19.02,5000
2017-08-16,19.10,19.10,19.10,19.10,19.10,2000
2017-08-17,18.98,NULL,NULL,NULL,NULL,0
2017-08-18,18.88,18.92,18.92,18.89,18.89,26000
2017-08-21,18.87,18.88,18.88,18.88,18.88,1000
2017-08-22,18.84,18.84,18.84,18.83,18.83,4000
2017-08-23,18.88,18.88,18.89,18.88,18.89,6000
2017-08-24,18.78,18.81,18.81,18.81,18.81,1000
2017-08-25,18.81,18.83,18.85,18.82,18.85,613000
2017-08-28,18.76,18.77,18.81,18.77,18.81,101000
2017-08-29,18.67,18.72,18.72,18.70,18.70,11000
2017-08-30,18.73,18.74,18.74,18.74,18.74,2000
2017-08-31,18.73,18.73,18.74,18.73,18.74,10000
2017-09-01,18.66,NULL,NULL,NULL,NULL,0
2017-09-04,18.75,18.75,18.77,18.75,18.77,2000
2017-09-05,18.75,18.77,18.77,18.77,18.77,20000
2017-09-06,18.50,18.54,18.55,18.54,18.55,2000
2017-09-07,18.61,18.62,18.62,18.62,18.62,5000
2017-09-08,18.34,18.40,18.44,18.40,18.41,235000
2017-09-11,18.57,18.61,18.61,18.61,18.61,1000
2017-09-12,18.69,18.70,18.70,18.67,18.69,31000
2017-09-13,18.76,18.76,18.76,18.76,18.76,4000
2017-09-14,18.84,18.84,18.84,18.84,18.84,1000
2017-09-15,18.74,NULL,NULL,NULL,NULL,0
2017-09-18,18.80,18.79,18.79,18.79,18.79,1000
2017-09-19,18.87,18.85,18.85,18.85,18.85,1000
2017-09-20,18.89,18.91,18.91,18.91,18.91,5000
2017-09-21,18.93,18.93,18.96,18.93,18.94,102000
2017-09-22,18.82,NULL,NULL,NULL,NULL,0
2017-09-25,18.82,NULL,NULL,NULL,NULL,0
2017-09-26,18.76,NULL,NULL,NULL,NULL,0
2017-09-27,18.82,18.81,18.81,18.81,18.81,5000
2017-09-28,19.20,19.16,19.16,19.05,19.05,19000
2017-09-29,19.14,19.15,19.16,19.15,19.16,2000
2017-09-30,18.94,NULL,NULL,NULL,NULL,0
2017-10-02,19.16,19.15,19.15,19.15,19.15,1000
