date,adj_close,close,high,low,open,volume
2017-09-01,20.01,20.01,20.02,19.97,20.02,3173000
2017-09-04,20.10,20.10,20.15,20.09,20.11,874000
2017-09-05,20.28,20.28,20.31,20.17,20.18,393000
2017-09-06,20.49,20.49,20.54,20.49,20.50,1289000
2017-09-07,20.36,20.36,20.36,20.31,20.35,709000
2017-09-08,20.87,20.86,20.86,20.60,20.61,2561000
2017-09-11,20.61,20.62,20.63,20.56,20.63,334000
2017-09-12,20.24,20.24,20.28,20.20,20.20,277000
2017-09-13,19.97,19.99,20.03,19.97,20.00,1021000
2017-09-14,19.86,19.88,19.88,19.78,19.84,634000
2017-09-15,19.85,19.86,20.00,19.86,19.96,598000
2017-09-18,19.63,19.63,19.63,19.60,19.62,563000
2017-09-19,19.41,19.41,19.55,19.41,19.53,1246000
2017-09-20,19.52,19.53,19.53,19.50,19.50,144000
2017-09-21,19.19,19.19,19.21,19.18,19.19,1207000
2017-09-22,19.39,19.40,19.46,19.27,19.28,1615000
2017-09-25,19.26,19.27,19.27,19.19,19.21,664000
2017-09-26,19.49,19.50,19.50,19.43,19.45,798000
2017-09-27,19.21,19.22,19.25,19.20,19.21,686000
2017-09-28,19.00,19.01,19.07,18.97,19.04,1226000
2017-09-29,19.10,19.11,19.13,19.10,19.12,329000
2017-09-30,19.15,19.15,19.15,19.15,19.15,16000
2017-10-02,19.01,19.02,19.05,19.02,19.04,444000
2017-10-03,18.93,18.94,19.00,18.93,19.00,580000
2017-10-05,19.05,19.06,19.06,19.03,19.04,429000
2017-10-06,18.96,18.97,19.02,18.97,19.00,554000
2017-10-11,19.12,19.12,19.15,19.09,19.11,739000
2017-10-12,19.15,19.16,19.16,19.12,19.13,747000
2017-10-13,19.21,19.23,19.24,19.17,19.17,626000
2017-10-16,19.24,19.25,19.26,19.23,19.25,933000
2017-10-17,19.18,19.18,19.20,19.16,19.17,556000
2017-10-18,19.13,19.15,19.17,19.15,19.17,557000
2017-10-19,18.91,18.92,18.96,18.92,18.96,727000
2017-10-20,18.88,18.88,19.03,18.85,19.03,1118000
2017-10-23,18.67,18.68,18.70,18.62,18.70,899000
2017-10-24,18.77,18.78,18.82,18.78,18.80,598000
2017-10-25,18.64,18.64,18.67,18.61,18.66,852000
2017-10-26,18.76,18.78,18.78,18.73,18.73,559000
2017-10-27,18.53,18.53,18.56,18.51,18.55,932000
2017-10-30,18.70,18.71,18.72,18.67,18.68,516000
2017-10-31,18.84,18.86,18.86,18.82,18.83,312000
2017-11-01,18.61,18.62,18.62,18.59,18.61,645000
2017-11-02,18.58,18.59,18.61,18.57,18.58,703000
2017-11-03,18.55,18.55,18.59,18.55,18.58,663000
2017-11-06,18.44,18.47,18.49,18.32,18.45,995000
2017-11-07,18.56,18.56,18.63,18.55,18.61,652000
2017-11-08,18.59,18.60,18.63,18.59,18.63,507000
2017-11-09,18.67,18.67,18.67,18.53,18.54,745000
2017-11-10,18.69,18.69,18.75,18.69,18.74,669000
2017-11-13,18.64,18.64,18.66,18.63,18.66,456000
2017-11-14,18.61,18.61,18.66,18.61,18.64,873000
2017-11-15,18.77,18.78,18.82,18.70,18.71,948000
2017-11-16,18.80,18.80,18.88,18.80,18.83,817000
2017-11-17,18.96,18.96,19.01,18.82,18.82,1215000
2017-11-20,19.12,19.12,19.15,19.08,19.08,785000
2017-11-21,18.94,18.96,18.97,18.91,18.95,634000
2017-11-22,19.04,19.06,19.06,19.01,19.02,484000
2017-11-23,19.34,19.34,19.43,19.33,19.39,1003000
2017-11-24,19.27,19.27,19.35,19.27,19.34,205000
2017-11-27,19.31,19.32,19.33,19.26,19.26,521000
2017-11-28,19.39,19.39,19.44,19.35,19.44,498000
2017-11-29,19.27,19.27,19.32,19.21,19.25,1020000
2017-11-30,19.10,19.12,19.13,19.09,19.12,714000
