date,adj_close,close,high,low,open,volume
2016-08-17,16.90,16.91,17.00,16.81,16.91,48000
2017-07-07,14.23,14.22,14.25,14.21,14.23,322000
2017-07-10,14.30,14.30,14.30,14.22,14.22,428000
2017-07-11,14.37,14.41,14.41,14.30,14.30,388000
2017-07-12,14.38,14.40,14.41,14.35,14.41,266000
2017-07-13,14.40,14.40,14.41,14.35,14.38,448000
2017-07-14,14.45,14.50,14.50,14.39,14.39,375000
2017-07-17,14.43,14.48,14.50,14.40,14.50,173000
2017-07-18,14.43,14.44,14.46,14.42,14.45,153000
2017-07-19,14.43,14.44,14.46,14.41,14.45,138000
2017-07-20,14.43,14.43,14.44,14.43,14.44,134000
2017-07-21,14.43,14.43,14.44,14.43,14.43,340000
2017-07-24,14.44,14.44,14.44,14.42,14.43,365000
2017-07-25,14.38,14.39,14.43,14.38,14.43,660000
2017-07-26,14.37,14.37,14.38,14.36,14.38,174000
2017-07-27,14.35,14.35,14.37,14.35,14.37,283000
2017-07-28,14.33,14.33,14.35,14.29,14.35,213000
2017-07-31,14.40,14.40,14.40,14.30,14.33,460000
2017-08-01,14.30,14.30,14.35,14.30,14.31,673000
2017-08-02,14.30,14.31,14.32,14.29,14.30,236000
2017-08-03,14.30,14.30,14.32,14.29,14.31,644000
2017-08-04,14.29,14.30,14.35,14.29,14.31,306000
2017-08-07,14.29,14.30,14.32,14.29,14.30,506000
2017-08-08,14.26,14.28,14.33,14.25,14.30,122000
2017-08-09,14.24,14.25,14.28,14.24,14.26,379000
2017-08-10,14.17,14.17,14.25,14.15,14.25,558000
2017-08-11,14.14,14.14,14.17,14.13,14.17,636000
2017-08-14,14.11,14.11,14.14,14.11,14.14,629000
2017-08-15,14.10,14.11,14.11,14.09,14.11,402000
2017-08-16,14.10,14.10,14.10,14.09,14.10,244000
2017-08-17,14.06,14.06,14.10,14.06,14.10,617000
2017-08-18,14.02,14.02,14.05,14.02,14.05,538000
2017-08-21,13.91,13.91,14.01,13.89,14.01,971000
2017-08-22,13.81,13.82,13.90,13.81,13.90,1316000
