date,adj_close,close,high,low,open,volume
2016-08-17,17.20,NULL,NULL,NULL,NULL,0
2017-07-07,24.10,24.60,24.60,24.40,24.40,113000
2017-07-10,23.80,24.80,24.90,24.80,24.90,52000
2017-07-11,24.40,NULL,NULL,NULL,NULL,2802000
2017-07-12,25.30,NULL,NULL,NULL,NULL,0
2017-07-13,25.40,25.40,25.40,25.40,25.40,4433000
2017-07-14,25.30,NULL,NULL,NULL,NULL,4433000
2017-07-17,25.50,NULL,NULL,NULL,NULL,0
2017-07-18,26.00,26.00,26.00,25.80,25.90,1078000
2017-07-19,26.30,NULL,NULL,NULL,NULL,0
2017-07-20,26.60,NULL,NULL,NULL,NULL,0
2017-07-21,26.40,NULL,NULL,NULL,NULL,0
2017-07-24,26.60,NULL,NULL,NULL,NULL,0
2017-07-25,26.20,NULL,NULL,NULL,NULL,0
2017-07-26,26.10,NULL,NULL,NULL,NULL,0
2017-07-27,26.80,NULL,NULL,NULL,NULL,0
2017-07-28,26.80,NULL,NULL,NULL,NULL,0
2017-07-31,26.90,NULL,NULL,NULL,NULL,0
2017-08-01,27.10,NULL,NULL,NULL,NULL,0
2017-08-02,26.60,26.50,26.50,26.50,26.50,5000
2017-08-03,26.70,26.70,26.70,26.70,26.70,5000
2017-08-04,26.90,NULL,NULL,NULL,NULL,0
2017-08-07,27.10,NULL,NULL,NULL,NULL,0
2017-08-08,27.30,NULL,NULL,NULL,NULL,0
2017-08-09,27.20,NULL,NULL,NULL,NULL,0
2017-08-10,26.60,NULL,NULL,NULL,NULL,0
2017-08-11,26.40,NULL,NULL,NULL,NULL,0
2017-08-14,26.00,26.10,26.10,26.10,26.10,1000
2017-08-15,26.20,NULL,NULL,NULL,NULL,0
2017-08-16,25.60,25.80,26.00,25.80,26.00,3000
2017-08-17,26.10,NULL,NULL,NULL,NULL,0
2017-08-18,26.40,26.60,26.60,26.10,26.10,39000
2017-08-21,26.80,26.80,26.80,26.40,26.40,21000
2017-08-22,26.80,26.90,26.90,26.90,26.90,10000
2017-08-23,26.90,26.80,26.80,26.80,26.80,50000
2017-08-24,27.10,27.10,27.10,27.10,27.10,1000
2017-08-25,26.70,NULL,NULL,NULL,NULL,0
2017-08-28,27.00,NULL,NULL,NULL,NULL,0
2017-08-29,27.10,NULL,NULL,NULL,NULL,0
2017-08-30,27.20,NULL,NULL,NULL,NULL,0
2017-08-31,27.10,27.10,27.30,27.10,27.20,143000
2017-09-01,27.00,27.10,27.30,27.00,27.20,267000
2017-09-04,26.50,26.60,26.90,26.60,26.70,262000
2017-09-05,26.60,26.60,26.70,26.60,26.60,163000
2017-09-06,26.50,NULL,NULL,NULL,NULL,0
2017-09-07,26.70,NULL,NULL,NULL,NULL,0
2017-09-08,26.70,NULL,NULL,NULL,NULL,0
2017-09-11,26.70,26.70,26.70,26.70,26.70,49000
2017-09-12,26.80,NULL,NULL,NULL,NULL,0
2017-09-13,26.70,NULL,NULL,NULL,NULL,0
2017-09-14,26.70,NULL,NULL,NULL,NULL,0
2017-09-15,26.80,NULL,NULL,NULL,NULL,0
2017-09-18,27.40,27.30,27.30,27.10,27.10,2000
2017-09-19,27.30,NULL,NULL,NULL,NULL,0
2017-09-20,27.30,NULL,NULL,NULL,NULL,0
2017-09-21,27.40,NULL,NULL,NULL,NULL,0
2017-09-22,27.30,NULL,NULL,NULL,NULL,0
2017-09-25,26.70,NULL,NULL,NULL,NULL,0
2017-09-26,26.70,NULL,NULL,NULL,NULL,0
2017-09-27,26.50,NULL,NULL,NULL,NULL,0
2017-09-28,25.80,NULL,NULL,NULL,NULL,0
2017-09-29,26.20,NULL,NULL,NULL,NULL,0
2017-09-30,26.40,NULL,NULL,NULL,NULL,0
2017-10-02,26.10,26.10,26.30,26.10,26.30,9000
2017-10-03,25.80,25.90,26.10,25.90,26.10,3000
2017-10-05,25.50,25.60,25.90,25.60,25.90,5000
2017-10-06,25.50,25.50,25.60,25.50,25.50,3000
2017-10-11,26.30,26.30,26.30,26.10,26.10,3000
2017-10-12,26.40,26.40,26.40,26.00,26.10,5000
2017-10-13,26.00,26.10,26.20,26.10,26.20,10000
2017-10-16,26.60,26.60,26.60,26.30,26.30,4000
2017-10-17,26.60,26.60,26.70,26.40,26.70,4000
2017-10-18,26.30,26.50,26.50,26.30,26.40,6000
2017-10-19,26.30,NULL,NULL,NULL,NULL,0
2017-10-20,26.40,26.30,26.30,26.30,26.30,2000
2017-10-23,26.10,26.20,26.20,26.10,26.20,6000
2017-10-24,26.30,26.40,26.40,26.30,26.30,2000
2017-10-25,26.20,26.30,26.30,26.10,26.20,7000
2017-10-26,26.10,26.00,26.10,26.00,26.10,6000
2017-10-27,26.00,26.00,26.10,26.00,26.10,7000
2017-10-30,25.60,25.80,26.10,25.70,26.10,22000
2017-10-31,26.00,26.00,26.00,25.70,25.70,4000
2017-11-01,26.10,26.30,26.30,26.30,26.30,4000
2017-11-02,26.40,26.40,26.40,26.40,26.40,5000
2017-11-03,26.30,NULL,NULL,NULL,NULL,0
2017-11-06,26.20,26.20,26.20,26.10,26.20,9000
2017-11-07,26.40,26.40,26.40,26.40,26.40,2000
2017-11-08,26.40,26.50,26.50,26.50,26.50,1000
2017-11-09,26.20,26.50,26.50,26.50,26.50,165000
2017-11-10,26.10,26.10,26.20,26.10,26.20,3000
2017-11-13,26.20,26.40,26.40,26.30,26.30,3000
2017-11-14,26.40,NULL,NULL,NULL,NULL,0
2017-11-15,26.20,NULL,NULL,NULL,NULL,0
2017-11-16,26.20,26.20,26.20,26.20,26.20,1000
2017-11-17,26.30,26.40,26.40,26.30,26.40,3000
2017-11-20,26.30,NULL,NULL,NULL,NULL,0
2017-11-21,26.60,26.60,26.60,26.50,26.50,2000
2017-11-22,26.60,26.60,26.60,26.60,26.60,4000
2017-11-23,26.70,26.70,26.70,26.70,26.70,1000
2017-11-24,26.60,26.80,26.80,26.80,26.80,1000
2017-11-27,26.90,26.90,26.90,26.90,26.90,12000
2017-11-28,26.90,26.90,26.90,26.90,26.90,10000
2017-11-29,26.90,NULL,NULL,NULL,NULL,0
2017-11-30,26.60,26.60,26.70,26.60,26.70,2000
2017-12-01,26.40,26.60,26.60,26.40,26.40,10000
2017-12-04,26.70,26.70,26.70,26.70,26.70,1000
2017-12-05,26.70,26.70,26.80,26.70,26.70,5000
2017-12-06,26.30,26.20,26.20,26.20,26.20,1000
2017-12-07,26.10,26.50,26.50,26.50,26.50,1000
2017-12-08,26.00,NULL,NULL,NULL,NULL,0
2017-12-11,25.90,26.00,26.10,26.00,26.10,37000
2017-12-12,25.80,NULL,NULL,NULL,NULL,0
2017-12-13,26.10,26.10,26.10,25.90,25.90,4000
2017-12-14,26.30,26.60,26.60,26.20,26.20,5000
2017-12-15,26.20,26.40,26.40,26.20,26.20,3000
2017-12-18,26.50,26.80,26.80,26.50,26.50,6000
2017-12-19,26.50,26.60,26.90,26.60,26.80,5000
2017-12-20,26.80,26.80,26.80,26.80,26.80,1000
2017-12-21,26.80,26.90,26.90,26.90,26.90,13000
2017-12-22,27.00,27.00,27.00,27.00,27.00,3000
2017-12-25,27.20,27.30,27.30,27.20,27.20,8000
2017-12-26,27.20,27.30,27.30,27.30,27.30,3000
2017-12-27,27.70,27.80,27.80,27.40,27.40,10000
2017-12-28,27.60,27.90,27.90,27.90,27.90,2000
2017-12-29,27.80,27.90,28.20,27.70,27.70,14000
2018-01-02,27.60,27.60,27.90,27.30,27.80,30000
2018-01-03,28.20,28.20,28.20,27.70,27.70,12000
2018-01-04,28.10,28.20,28.20,27.90,28.00,8000
2018-01-05,27.90,28.00,28.20,28.00,28.00,8000
2018-01-08,28.90,28.90,28.90,28.30,28.30,18000
2018-01-09,30.20,30.20,30.20,29.10,29.10,32000
2018-01-10,30.80,31.00,31.10,30.60,30.60,23000
2018-01-11,30.30,30.20,30.60,30.00,30.50,8000
2018-01-12,29.90,30.00,30.10,30.00,30.10,3000
2018-01-15,30.30,30.30,30.30,30.00,30.10,5000
2018-01-16,30.10,30.10,30.10,30.10,30.10,1000
2018-01-17,30.00,30.10,30.10,29.90,30.00,3664000
2018-01-18,29.90,30.20,30.50,30.10,30.20,163000
2018-01-19,29.80,29.80,30.00,29.60,30.00,7000
2018-01-22,29.60,29.80,29.80,29.60,29.60,2000
2018-01-23,29.60,29.50,29.60,29.50,29.60,2000
2018-01-24,29.40,NULL,NULL,NULL,NULL,3660000
2018-01-25,30.20,30.20,30.30,29.70,29.70,9000
2018-01-26,30.20,30.20,30.20,30.00,30.00,2000
2018-01-29,30.30,NULL,NULL,NULL,NULL,0
2018-01-30,29.70,NULL,NULL,NULL,NULL,0
2018-01-31,29.30,NULL,NULL,NULL,NULL,3662000
2018-02-01,29.30,29.40,29.60,29.40,29.60,5000
2018-02-02,29.00,29.10,29.30,29.10,29.30,3000
2018-02-05,28.50,28.60,28.60,28.40,28.40,4000
2018-02-06,27.00,NULL,NULL,NULL,NULL,0
2018-02-07,27.90,27.90,27.90,27.90,27.90,2000
2018-02-08,27.90,28.10,28.10,28.10,28.10,3000
2018-02-09,26.90,27.20,27.20,27.00,27.00,13000
2018-02-12,27.10,27.20,27.50,27.00,27.00,8000
2018-02-21,28.60,28.60,28.60,27.80,27.80,12000
2018-02-22,28.30,28.20,28.40,28.20,28.40,2000
2018-02-23,28.60,28.60,28.60,28.40,28.60,3000
2018-02-26,29.40,29.60,29.60,29.10,29.10,5000
2018-02-27,29.50,NULL,NULL,NULL,NULL,0
2018-03-01,28.70,29.00,29.20,28.40,28.50,7000
2018-03-02,28.20,28.20,28.20,28.00,28.20,17000
2018-03-05,28.10,28.40,28.60,28.20,28.50,6000
2018-03-06,28.70,28.80,28.80,28.50,28.50,6000
2018-03-07,28.80,28.90,29.20,28.90,28.90,6000
2018-03-08,28.70,28.80,28.80,28.80,28.80,1000
2018-03-09,28.70,NULL,NULL,NULL,NULL,0
2018-03-12,29.40,29.50,29.50,29.20,29.20,2000
2018-03-13,29.60,29.60,29.60,28.90,28.90,6000
2018-03-14,29.50,29.50,29.50,29.50,29.50,5000
2018-03-15,29.40,29.40,29.40,29.40,29.40,1000
2018-03-16,30.10,30.30,30.30,29.30,29.30,20000
2018-03-19,30.30,30.30,30.30,30.00,30.00,4000
2018-03-20,30.50,30.60,30.60,30.40,30.40,7000
2018-03-21,30.60,30.70,30.70,30.70,30.70,3000
2018-03-22,30.90,30.90,32.00,30.40,30.80,41000
2018-03-23,30.40,30.40,30.40,30.40,30.40,5000
2018-03-26,30.40,30.40,30.80,30.40,30.60,7000
2018-03-27,30.80,30.80,30.80,30.80,30.80,2000
2018-03-28,30.40,NULL,NULL,NULL,NULL,0
2018-03-29,30.10,30.30,30.30,30.10,30.30,6000
2018-03-30,30.30,NULL,NULL,NULL,NULL,0
2018-03-31,30.10,30.20,30.50,30.20,30.50,4000
2018-04-02,29.80,29.90,30.40,29.90,30.40,6000
2018-04-03,29.90,NULL,NULL,NULL,NULL,0
2018-04-09,31.00,31.00,31.00,30.60,30.70,9000
2018-04-10,31.20,31.30,31.30,31.00,31.20,5000
2018-04-11,31.40,31.50,31.60,31.30,31.50,8000
2018-04-12,31.90,31.90,31.90,31.60,31.60,6000
2018-04-13,31.50,NULL,NULL,NULL,NULL,0
2018-04-16,31.30,31.30,31.40,31.30,31.40,3000
2018-04-17,30.50,30.50,30.90,30.50,30.90,7000
2018-04-18,30.80,30.80,30.80,30.50,30.70,3000
2018-04-19,31.20,31.10,31.10,31.10,31.10,1000
2018-04-20,30.80,30.90,30.90,30.90,30.90,1000
2018-04-23,30.20,30.30,30.70,30.30,30.70,6000
2018-04-24,29.50,29.70,29.90,29.60,29.90,10000
2018-04-25,29.60,29.50,29.50,29.50,29.50,1000
2018-04-26,29.60,29.60,29.90,29.60,29.80,5000
2018-04-27,29.50,29.50,29.70,29.50,29.70,3000
2018-04-30,30.00,30.00,30.00,29.70,29.80,7000
2018-05-02,NULL,30.90,30.90,30.20,30.20,6000
2018-05-03,NULL,30.40,30.40,30.40,30.40,52000
2018-05-04,30.20,30.30,30.60,30.30,30.60,2000
2018-05-07,30.50,30.50,30.50,30.20,30.20,15000
2018-05-08,30.20,30.70,30.70,30.60,30.60,2000
2018-05-09,30.80,31.00,31.00,30.80,30.80,4000
2018-05-10,31.30,31.40,31.40,31.10,31.10,6000
2018-05-11,31.90,31.90,31.90,31.50,31.50,7000
2018-05-14,32.20,32.20,32.20,32.00,32.00,3000
2018-05-15,32.10,32.20,32.30,32.20,32.30,7000
2018-05-16,32.60,32.90,32.90,32.40,32.40,12000
2018-05-17,33.30,33.60,33.60,33.00,33.00,18000
2018-05-18,33.30,33.30,33.40,33.00,33.20,8000
2018-05-21,33.20,33.30,33.50,33.20,33.50,5000
2018-05-22,33.00,NULL,NULL,NULL,NULL,0
2018-05-23,33.00,NULL,NULL,NULL,NULL,0
2018-05-24,33.30,NULL,NULL,NULL,NULL,0
2018-05-25,32.60,32.80,33.20,32.80,33.20,3000
2018-05-28,32.80,33.00,33.00,32.60,32.60,5000
2018-05-29,32.50,32.70,32.70,32.70,32.70,1000
2018-05-30,32.00,32.20,32.20,32.10,32.10,2000
2018-05-31,31.20,32.10,32.30,32.10,32.10,3000
2018-06-01,32.00,32.10,32.10,31.70,31.70,2000
2018-06-04,32.60,32.80,32.80,32.40,32.40,2000
2018-06-05,32.80,33.10,33.10,33.10,33.10,1000
2018-06-06,32.70,32.70,32.70,32.70,32.70,1000
2018-06-07,33.00,32.90,33.20,32.90,33.00,4000
2018-06-08,32.20,32.20,32.40,32.20,32.40,5000
2018-06-11,31.90,32.10,32.10,32.10,32.10,1000
2018-06-12,32.10,NULL,NULL,NULL,NULL,0
2018-06-13,32.50,32.50,32.50,32.30,32.30,3000
2018-06-14,31.40,31.70,32.00,31.70,32.00,3000
2018-06-15,31.70,31.70,31.70,31.40,31.40,5000
2018-06-19,30.70,30.90,31.10,30.70,31.10,2900000
2018-06-20,31.70,31.70,31.70,30.90,30.90,453000
2018-06-21,31.50,31.90,31.90,31.90,31.90,1000
2018-06-22,31.70,NULL,NULL,NULL,NULL,0
2018-06-25,32.00,NULL,NULL,NULL,NULL,0
2018-06-26,32.20,32.10,32.10,32.10,32.10,1000
2018-06-27,32.20,32.40,32.40,32.40,32.40,11000
2018-06-28,31.70,NULL,NULL,NULL,NULL,0
2018-06-29,33.20,33.10,33.10,32.60,32.60,4000
2018-07-02,33.30,33.30,33.30,33.30,33.30,2000
2018-07-03,33.70,33.90,33.90,33.30,33.50,17000
2018-07-04,33.70,33.70,33.70,33.70,33.70,2000
2018-07-05,33.70,33.70,33.70,33.70,33.70,17000
2018-07-06,33.20,33.30,33.50,33.30,33.50,7000
2018-07-09,33.40,34.00,34.00,33.30,33.30,3000
2018-07-10,33.60,33.60,34.10,33.50,34.10,423000
2018-07-11,34.30,33.90,34.00,33.80,33.80,100000
2018-07-12,34.80,NULL,NULL,NULL,NULL,0
2018-07-13,34.90,NULL,NULL,NULL,NULL,0
2018-07-16,34.70,NULL,NULL,NULL,NULL,0
2018-07-17,34.20,NULL,NULL,NULL,NULL,0
2018-07-18,35.20,NULL,NULL,NULL,NULL,0
2018-07-19,34.20,35.20,35.20,35.20,35.20,4000
2018-07-20,34.30,NULL,NULL,NULL,NULL,0
2018-07-23,34.20,NULL,NULL,NULL,NULL,0
2018-07-24,34.50,NULL,NULL,NULL,NULL,0
2018-07-25,34.10,NULL,NULL,NULL,NULL,0
2018-07-26,34.40,NULL,NULL,NULL,NULL,0
2018-07-27,34.40,NULL,NULL,NULL,NULL,0
2018-07-30,34.50,NULL,NULL,NULL,NULL,0
2018-07-31,34.80,NULL,NULL,NULL,NULL,0
2018-08-01,34.80,34.70,35.00,34.70,34.80,1235000
2018-08-02,34.00,34.20,34.80,34.20,34.80,943000
2018-08-03,34.10,NULL,NULL,NULL,NULL,0
