date,adj_close,close,high,low,open,volume
2019-04-22,2.67,NULL,NULL,NULL,NULL,0
2019-04-23,2.63,NULL,NULL,NULL,NULL,0
2019-04-24,2.63,NULL,NULL,NULL,NULL,0
2019-04-25,2.61,2.65,2.65,2.65,2.65,2000
2019-04-26,2.70,2.73,2.73,2.73,2.73,11000
2019-04-29,2.69,2.68,2.68,2.68,2.68,2000
2019-04-30,2.66,NULL,NULL,NULL,NULL,0
2019-05-02,2.63,NULL,NULL,NULL,NULL,0
2019-05-03,2.52,2.54,2.62,2.54,2.62,21000
2019-05-06,2.73,2.76,2.76,2.70,2.70,15000
2019-05-07,2.63,2.62,2.67,2.62,2.67,29000
2019-05-08,2.69,2.67,2.70,2.67,2.70,26000
2019-05-09,2.85,2.88,2.88,2.77,2.77,71000
2019-05-10,2.86,2.76,2.82,2.76,2.80,52000
2019-05-13,2.99,2.97,2.97,2.97,2.97,15000
2019-05-14,3.04,3.05,3.11,3.05,3.11,6000
2019-05-15,2.97,2.98,3.02,2.98,3.02,5000
2019-05-16,3.07,NULL,NULL,NULL,NULL,0
2019-05-17,3.15,3.11,3.11,3.11,3.11,5000
2019-05-20,3.14,NULL,NULL,NULL,NULL,0
2019-05-21,3.07,3.09,3.09,3.09,3.09,1000
2019-05-22,3.09,3.06,3.11,3.06,3.11,27000
2019-05-23,3.25,3.26,3.26,3.20,3.20,12000
2019-05-24,3.23,3.22,3.22,3.22,3.22,1000
2019-05-27,3.23,3.21,3.21,3.21,3.21,10000
2019-05-28,3.23,NULL,NULL,NULL,NULL,0
2019-05-29,3.26,NULL,NULL,NULL,NULL,0
2019-05-30,3.19,3.20,3.20,3.20,3.20,9000
2019-05-31,3.10,NULL,NULL,NULL,NULL,0
2019-06-03,3.10,NULL,NULL,NULL,NULL,0
2019-06-04,3.14,NULL,NULL,NULL,NULL,0
2019-06-05,3.10,NULL,NULL,NULL,NULL,0
2019-06-06,3.17,NULL,NULL,NULL,NULL,0
2019-06-10,3.00,NULL,NULL,NULL,NULL,0
2019-06-11,2.95,NULL,NULL,NULL,NULL,0
2019-06-12,2.94,NULL,NULL,NULL,NULL,0
2019-06-13,3.00,3.01,3.01,3.01,3.01,16000
2019-06-14,3.00,NULL,NULL,NULL,NULL,0
2019-06-17,2.98,2.97,2.97,2.97,2.97,2000
2019-06-18,2.97,NULL,NULL,NULL,NULL,0
2019-06-19,2.74,2.77,2.83,2.77,2.83,35000
2019-06-20,2.71,NULL,NULL,NULL,NULL,0
2019-06-21,2.71,2.67,2.68,2.67,2.68,25000
2019-06-24,2.66,NULL,NULL,NULL,NULL,0
2019-06-25,2.73,2.74,2.74,2.74,2.74,5000
2019-06-26,2.77,2.76,2.76,2.76,2.76,10000
2019-06-27,2.65,2.65,2.71,2.65,2.71,15000
2019-06-28,2.70,NULL,NULL,NULL,NULL,0
2019-07-01,2.49,2.50,2.50,2.50,2.50,2000
2019-07-02,2.51,2.52,2.52,2.52,2.52,29000
2019-07-03,2.61,NULL,NULL,NULL,NULL,0
2019-07-04,2.56,NULL,NULL,NULL,NULL,0
2019-07-05,2.55,NULL,NULL,NULL,NULL,0
2019-07-08,2.59,NULL,NULL,NULL,NULL,0
2019-07-09,2.60,2.61,2.62,2.61,2.62,23000
2019-07-10,2.52,2.53,2.53,2.53,2.53,29000
2019-07-11,2.44,NULL,NULL,NULL,NULL,0
2019-07-12,2.44,2.43,2.45,2.43,2.45,12000
2019-07-15,2.39,NULL,NULL,NULL,NULL,0
