date,adj_close,close,high,low,open,volume
2019-07-17,1.59,NULL,NULL,NULL,NULL,0
2019-07-18,1.57,1.59,1.59,1.59,1.59,5000
2019-07-19,1.65,1.68,1.68,1.68,1.68,5000
2019-07-22,1.70,NULL,NULL,NULL,NULL,0
2019-07-23,1.71,NULL,NULL,NULL,NULL,0
2019-07-24,1.71,NULL,NULL,NULL,NULL,0
2019-07-25,1.73,1.74,1.74,1.74,1.74,148000
2019-07-26,1.69,NULL,NULL,NULL,NULL,0
2019-07-29,1.69,NULL,NULL,NULL,NULL,0
2019-07-30,1.66,NULL,NULL,NULL,NULL,0
2019-07-31,1.63,NULL,NULL,NULL,NULL,0
2019-08-01,1.55,NULL,NULL,NULL,NULL,0
2019-08-02,1.37,1.35,1.35,1.35,1.35,20000
2019-08-05,1.27,1.26,1.31,1.26,1.30,102000
2019-08-06,1.24,1.24,1.28,1.05,1.05,502000
2019-08-07,1.20,1.20,1.24,1.20,1.24,259000
2019-08-08,1.32,1.31,1.31,1.25,1.26,118000
2019-08-12,1.32,1.34,1.34,1.28,1.28,29000
2019-08-13,1.22,1.23,1.28,1.20,1.28,177000
2019-08-14,1.29,1.31,1.36,1.31,1.34,408000
2019-08-15,1.17,1.18,1.21,1.16,1.16,289000
2019-08-16,1.28,1.29,1.29,1.16,1.19,429000
2019-08-19,1.34,1.35,1.35,1.30,1.31,268000
2019-08-20,1.38,1.37,1.38,1.35,1.38,184000
2019-08-21,1.39,1.39,1.39,1.37,1.37,50000
2019-08-22,1.37,1.37,1.45,1.37,1.44,305000
2019-08-23,1.39,1.41,1.41,1.36,1.39,57000
2019-08-26,1.20,1.21,1.25,1.18,1.23,663000
2019-08-27,1.24,1.24,1.26,1.23,1.26,601000
2019-08-28,1.29,1.30,1.31,1.28,1.28,413000
2019-08-29,1.30,1.31,1.31,1.26,1.27,365000
2019-08-30,1.45,1.45,1.45,1.40,1.40,250000
2019-09-02,1.47,1.48,1.48,1.45,1.45,198000
2019-09-03,1.40,1.41,1.49,1.41,1.47,58000
2019-09-04,1.51,1.52,1.52,1.45,1.45,138000
2019-09-05,1.60,1.59,1.60,1.55,1.55,107000
2019-09-06,1.64,1.64,1.64,1.63,1.63,46000
2019-09-09,1.65,1.66,1.66,1.65,1.66,50000
2019-09-10,1.61,1.61,1.66,1.60,1.66,103000
2019-09-11,1.63,1.64,1.66,1.62,1.66,129000
2019-09-12,1.67,1.68,1.71,1.68,1.71,168000
2019-09-16,1.72,1.72,1.73,1.72,1.73,54000
2019-09-17,1.72,1.73,1.74,1.73,1.74,54000
2019-09-18,1.78,1.79,1.79,1.78,1.78,88000
2019-09-19,1.73,1.74,1.74,1.74,1.74,19000
2019-09-20,1.76,1.76,1.77,1.76,1.77,12000
2019-09-23,1.75,1.76,1.76,1.76,1.76,1000
2019-09-24,1.77,1.78,1.78,1.78,1.78,30000
2019-09-25,1.70,1.69,1.73,1.69,1.73,53000
2019-09-26,1.69,1.72,1.75,1.72,1.75,61000
2019-09-27,1.67,1.68,1.69,1.68,1.69,45000
2019-10-01,1.81,1.82,1.82,1.78,1.78,176000
2019-10-02,1.78,1.78,1.80,1.78,1.78,117000
2019-10-03,1.70,1.71,1.73,1.65,1.65,316000
2019-10-04,1.73,1.73,1.74,1.70,1.74,116000
2019-10-07,1.76,1.77,1.77,1.75,1.75,75000
2019-10-08,1.84,1.85,1.86,1.81,1.81,322000
2019-10-09,1.74,1.74,1.80,1.74,1.80,75000
2019-10-14,1.89,1.90,1.91,1.88,1.88,161000
2019-10-15,1.91,1.91,1.92,1.91,1.91,74000
2019-10-16,1.96,1.96,1.96,1.94,1.95,34000
2019-10-17,1.98,1.98,1.98,1.96,1.96,3000
2019-10-18,1.97,1.98,1.99,1.97,1.99,52000
2019-10-21,1.97,1.98,1.98,1.96,1.96,120000
2019-10-22,2.05,2.06,2.06,2.03,2.04,89000
2019-10-23,2.02,2.01,2.04,2.00,2.04,101000
2019-10-24,2.08,2.08,2.08,2.05,2.05,96000
2019-10-25,2.09,2.08,2.12,2.08,2.12,36000
2019-10-28,2.11,2.12,2.13,2.12,2.12,76000
2019-10-29,2.13,2.11,2.16,2.11,2.16,93000
2019-10-30,2.14,2.15,2.15,2.15,2.15,20000
2019-10-31,2.14,2.17,2.18,2.17,2.17,184000
2019-11-01,2.17,2.13,2.13,2.13,2.13,30000
2019-11-04,2.34,2.35,2.35,2.23,2.23,53000
2019-11-05,2.43,2.43,2.43,2.37,2.38,38000
2019-11-06,2.44,2.44,2.44,2.42,2.42,24000
2019-11-07,2.38,2.39,2.39,2.38,2.38,42000
2019-11-08,2.35,2.38,2.38,2.37,2.37,132000
2019-11-11,2.22,2.21,2.23,2.21,2.23,8000
2019-11-12,2.30,2.29,2.29,2.25,2.28,30000
2019-11-13,2.23,2.23,2.23,2.23,2.23,7000
2019-11-14,2.22,2.25,2.25,2.25,2.25,4000
2019-11-15,2.30,NULL,NULL,NULL,NULL,0
2019-11-18,2.36,2.33,2.33,2.33,2.33,10000
2019-11-19,2.43,2.41,2.42,2.41,2.42,48000
2019-11-20,2.38,2.38,2.39,2.38,2.39,34000
2019-11-21,2.33,2.32,2.32,2.25,2.27,46000
2019-11-22,2.33,2.32,2.35,2.32,2.35,20000
2019-11-25,2.34,2.35,2.37,2.35,2.37,11000
2019-11-26,2.39,2.41,2.43,2.38,2.38,102000
2019-11-27,2.42,2.39,2.39,2.39,2.39,42000
2019-11-28,2.38,2.40,2.42,2.39,2.39,34000
2019-11-29,2.24,NULL,NULL,NULL,NULL,0
2019-12-02,2.26,2.24,2.25,2.24,2.25,27000
2019-12-03,2.27,2.28,2.28,2.28,2.28,20000
2019-12-04,2.26,2.23,2.25,2.23,2.25,8000
