date,adj_close,close,high,low,open,volume
2016-08-17,0.62,0.65,0.68,0.65,0.68,347000
2017-07-07,1.47,1.48,1.50,1.48,1.50,263000
2017-07-10,1.37,1.39,1.46,1.39,1.46,296000
2017-07-11,1.24,1.25,1.30,1.25,1.30,95000
2017-07-12,1.16,1.18,1.25,1.18,1.25,68000
2017-07-13,1.20,1.21,1.21,1.18,1.18,47000
2017-07-14,1.29,1.33,1.33,1.32,1.32,222000
2017-07-17,1.27,1.26,1.33,1.26,1.29,271000
2017-07-18,1.13,1.19,1.19,1.19,1.19,1000
2017-07-19,1.05,1.06,1.10,1.05,1.10,213000
2017-07-20,1.05,1.07,1.07,1.03,1.03,150000
2017-07-21,1.13,1.12,1.12,1.11,1.11,23000
2017-07-24,1.09,1.11,1.12,1.09,1.11,28000
2017-07-25,1.02,1.05,1.07,1.05,1.07,2000
2017-07-26,1.07,1.07,1.07,1.03,1.04,15000
2017-07-27,1.04,1.04,1.04,1.04,1.04,1000
2017-07-28,1.09,1.08,1.08,1.08,1.08,40000
2017-07-31,1.05,1.08,1.09,1.08,1.09,27000
2017-08-01,1.05,NULL,NULL,NULL,NULL,0
2017-08-02,0.91,0.92,0.96,0.90,0.96,162000
2017-08-03,0.94,0.95,0.96,0.94,0.94,83000
2017-08-04,0.91,NULL,NULL,NULL,NULL,0
2017-08-07,0.93,0.93,0.93,0.93,0.93,20000
2017-08-08,0.94,0.95,0.95,0.93,0.94,316000
2017-08-09,1.00,1.00,1.00,0.97,0.97,369000
2017-08-10,1.08,1.06,1.11,1.02,1.02,232000
2017-08-11,0.98,1.00,1.04,1.00,1.04,137000
2017-08-14,1.00,1.00,1.03,1.00,1.01,39000
2017-08-15,0.95,0.91,0.91,0.91,0.91,19000
2017-08-16,0.96,0.95,0.95,0.95,0.95,17000
2017-08-17,0.92,NULL,NULL,NULL,NULL,0
2017-08-18,0.93,0.94,0.95,0.94,0.95,34000
2017-08-21,0.91,0.91,0.94,0.91,0.94,26000
2017-08-22,0.88,0.88,0.90,0.88,0.90,19000
2017-08-23,0.84,NULL,NULL,NULL,NULL,0
2017-08-24,0.70,0.73,0.84,0.73,0.84,76000
2017-08-25,0.69,0.70,0.71,0.67,0.71,484000
2017-08-28,0.76,0.76,0.76,0.70,0.70,332000
2017-08-29,0.80,0.78,0.78,0.78,0.78,129000
2017-08-30,0.75,0.75,0.76,0.75,0.76,160000
2017-08-31,0.75,0.76,0.76,0.76,0.76,5000
2017-09-01,0.72,0.73,0.73,0.73,0.73,4000
2017-09-04,0.72,0.72,0.72,0.70,0.70,161000
2017-09-05,0.69,NULL,NULL,NULL,NULL,0
2017-09-06,0.70,0.70,0.70,0.68,0.69,175000
2017-09-07,0.64,0.68,0.68,0.67,0.67,160000
2017-09-08,0.66,0.66,0.66,0.66,0.66,183000
2017-09-11,0.71,0.71,0.72,0.68,0.68,412000
2017-09-12,0.69,0.69,0.72,0.68,0.68,372000
2017-09-13,0.79,0.79,0.79,0.75,0.75,1312000
2017-09-14,0.77,0.77,0.80,0.77,0.78,795000
2017-09-15,0.74,0.81,0.81,0.81,0.81,39000
2017-09-18,0.69,0.70,0.75,0.69,0.75,200000
2017-09-19,0.68,NULL,NULL,NULL,NULL,0
2017-09-20,0.74,0.74,0.75,0.71,0.71,20000
2017-09-21,0.73,0.73,0.73,0.73,0.73,181000
2017-09-22,0.89,0.89,0.89,0.74,0.74,484000
2017-09-25,0.90,0.92,0.93,0.86,0.92,427000
2017-09-26,1.02,0.98,0.98,0.91,0.93,787000
2017-09-27,0.86,0.86,1.00,0.85,1.00,62000
2017-09-28,0.86,0.87,0.89,0.83,0.83,52000
2017-09-29,0.89,0.90,0.90,0.89,0.89,473000
2017-09-30,0.86,0.81,0.85,0.81,0.85,462000
2017-10-02,0.80,0.80,0.80,0.76,0.76,504000
2017-10-03,0.76,0.75,0.75,0.75,0.75,150000
2017-10-05,0.72,0.72,0.73,0.72,0.72,317000
2017-10-06,0.77,0.75,0.77,0.71,0.73,658000
2017-10-11,0.79,0.77,0.78,0.72,0.72,248000
2017-10-12,0.68,0.70,0.75,0.70,0.75,243000
2017-10-13,0.72,0.73,0.75,0.72,0.72,245000
2017-10-16,0.61,0.63,0.71,0.61,0.71,270000
