date,adj_close,close,high,low,open,volume
2016-08-17,1.08,1.14,1.14,1.14,1.14,10000
2019-09-03,1.22,NULL,NULL,NULL,NULL,0
2019-09-04,1.32,1.37,1.37,1.34,1.34,70000
2019-09-05,1.26,1.28,1.33,1.28,1.33,101000
2019-09-06,1.23,1.33,1.33,1.33,1.33,14000
2019-09-09,1.15,1.24,1.24,1.24,1.24,14000
2019-09-10,0.99,NULL,NULL,NULL,NULL,0
2019-09-11,0.99,1.03,1.03,1.00,1.00,90000
2019-09-12,1.10,1.08,1.08,1.01,1.01,301000
2019-09-16,1.01,1.00,1.05,1.00,1.05,209000
2019-09-17,1.02,1.07,1.07,1.04,1.04,153000
2019-09-18,1.08,1.13,1.13,1.02,1.02,316000
2019-09-19,1.10,1.09,1.09,1.06,1.06,163000
2019-09-20,0.99,NULL,NULL,NULL,NULL,0
2019-09-23,0.99,0.98,0.99,0.98,0.99,11000
2019-09-24,0.93,NULL,NULL,NULL,NULL,0
2019-09-25,0.90,0.90,0.90,0.90,0.90,100000
2019-09-26,0.91,0.95,1.04,0.94,1.02,336000
2019-09-27,0.76,0.80,0.84,0.76,0.84,226000
2019-10-01,0.69,0.68,0.68,0.68,0.68,10000
2019-10-02,0.92,0.79,0.79,0.74,0.74,174000
2019-10-03,0.94,0.90,1.01,0.90,1.00,323000
2019-10-04,0.82,0.80,0.90,0.80,0.90,159000
2019-10-07,0.71,0.73,0.73,0.73,0.73,2000
2019-10-08,0.64,NULL,NULL,NULL,NULL,0
2019-10-09,0.50,0.53,0.53,0.51,0.51,51000
2019-10-14,0.48,0.54,0.55,0.54,0.55,10000
2019-10-15,0.41,0.41,0.49,0.41,0.49,16000
2019-10-16,0.34,0.35,0.35,0.35,0.35,5000
2019-10-17,0.38,0.39,0.39,0.30,0.30,26000
2019-10-18,0.33,0.34,0.40,0.34,0.40,70000
2019-10-21,0.35,0.31,0.31,0.31,0.31,10000
2019-10-22,0.33,0.36,0.36,0.36,0.36,50000
2019-10-23,0.32,NULL,NULL,NULL,NULL,0
2019-10-24,0.31,NULL,NULL,NULL,NULL,0
2019-10-25,0.32,0.34,0.34,0.34,0.34,100000
2019-10-28,0.30,NULL,NULL,NULL,NULL,0
2019-10-29,0.27,NULL,NULL,NULL,NULL,0
2019-10-30,0.46,0.46,0.46,0.38,0.38,15000
2019-10-31,0.46,0.50,0.55,0.48,0.48,2388000
2019-11-01,0.37,0.35,0.43,0.35,0.43,197000
2019-11-04,0.49,0.54,0.57,0.37,0.38,2515000
2019-11-05,0.64,0.63,0.67,0.49,0.52,227000
2019-11-06,0.59,0.59,0.69,0.59,0.69,115000
2019-11-07,0.50,0.51,0.52,0.50,0.52,71000
2019-11-08,0.51,0.55,0.63,0.54,0.54,367000
2019-11-11,0.45,0.45,0.47,0.42,0.47,454000
2019-11-12,0.45,0.43,0.43,0.43,0.43,98000
2019-11-13,0.58,0.59,0.64,0.58,0.60,124000
2019-11-14,0.59,0.59,0.60,0.57,0.60,102000
2019-11-15,0.56,0.56,0.56,0.56,0.56,5000
2019-11-18,0.58,0.69,0.72,0.63,0.63,286000
2019-11-19,0.55,0.56,0.59,0.56,0.58,172000
2019-11-20,0.69,0.71,0.72,0.58,0.58,603000
2019-11-21,0.64,0.67,0.74,0.64,0.71,492000
2019-11-22,0.65,0.65,0.65,0.64,0.64,85000
2019-11-25,0.79,0.80,0.84,0.67,0.67,543000
2019-11-26,0.98,0.93,0.93,0.76,0.76,484000
2019-11-27,0.82,0.83,0.90,0.81,0.90,55000
2019-11-28,0.77,0.79,0.79,0.73,0.78,6000
2019-11-29,0.57,0.57,0.74,0.57,0.74,109000
2019-12-02,0.60,0.61,0.61,0.59,0.59,2000
2019-12-03,0.58,0.59,0.62,0.59,0.60,8000
2019-12-04,0.53,0.54,0.54,0.52,0.54,699000
